,subject,classname_x,img,labels
0,p002,c0,img_69092.jpg,safe driving
1,p002,c0,img_92629.jpg,safe driving
2,p002,c0,img_3370.jpg,safe driving
3,p002,c0,img_35779.jpg,safe driving
4,p002,c0,img_10012.jpg,safe driving
5,p002,c0,img_87373.jpg,safe driving
6,p002,c0,img_37344.jpg,safe driving
7,p002,c0,img_43317.jpg,safe driving
8,p002,c0,img_63064.jpg,safe driving
9,p002,c0,img_24152.jpg,safe driving
10,p002,c0,img_14949.jpg,safe driving
11,p002,c0,img_89021.jpg,safe driving
12,p002,c0,img_16046.jpg,safe driving
13,p002,c0,img_92014.jpg,safe driving
14,p002,c0,img_48187.jpg,safe driving
15,p012,c0,img_26907.jpg,safe driving
16,p012,c0,img_47410.jpg,safe driving
17,p012,c0,img_40209.jpg,safe driving
18,p012,c0,img_71160.jpg,safe driving
19,p012,c0,img_59570.jpg,safe driving
20,p012,c0,img_93208.jpg,safe driving
21,p012,c0,img_35231.jpg,safe driving
22,p012,c0,img_5957.jpg,safe driving
23,p014,c0,img_93422.jpg,safe driving
24,p014,c0,img_95169.jpg,safe driving
25,p014,c0,img_67176.jpg,safe driving
26,p014,c0,img_42001.jpg,safe driving
27,p014,c0,img_49875.jpg,safe driving
28,p014,c0,img_23996.jpg,safe driving
29,p014,c0,img_67041.jpg,safe driving
30,p014,c0,img_1078.jpg,safe driving
31,p014,c0,img_47847.jpg,safe driving
32,p014,c0,img_80259.jpg,safe driving
33,p014,c0,img_91624.jpg,safe driving
34,p015,c0,img_48931.jpg,safe driving
35,p015,c0,img_100026.jpg,safe driving
36,p015,c0,img_83502.jpg,safe driving
37,p015,c0,img_93917.jpg,safe driving
38,p015,c0,img_51736.jpg,safe driving
39,p015,c0,img_86533.jpg,safe driving
40,p015,c0,img_43958.jpg,safe driving
41,p016,c0,img_12053.jpg,safe driving
42,p016,c0,img_62095.jpg,safe driving
43,p016,c0,img_69861.jpg,safe driving
44,p016,c0,img_59566.jpg,safe driving
45,p016,c0,img_40332.jpg,safe driving
46,p016,c0,img_63493.jpg,safe driving
47,p016,c0,img_68304.jpg,safe driving
48,p021,c0,img_31808.jpg,safe driving
49,p021,c0,img_31460.jpg,safe driving
50,p021,c0,img_71196.jpg,safe driving
51,p021,c0,img_57905.jpg,safe driving
52,p021,c0,img_56098.jpg,safe driving
53,p021,c0,img_97783.jpg,safe driving
54,p021,c0,img_90464.jpg,safe driving
55,p021,c0,img_13699.jpg,safe driving
56,p021,c0,img_82200.jpg,safe driving
57,p021,c0,img_12470.jpg,safe driving
58,p021,c0,img_29923.jpg,safe driving
59,p022,c0,img_80661.jpg,safe driving
60,p022,c0,img_31857.jpg,safe driving
61,p022,c0,img_27282.jpg,safe driving
62,p022,c0,img_100337.jpg,safe driving
63,p022,c0,img_45671.jpg,safe driving
64,p022,c0,img_100456.jpg,safe driving
65,p022,c0,img_85885.jpg,safe driving
66,p022,c0,img_86407.jpg,safe driving
67,p022,c0,img_5232.jpg,safe driving
68,p022,c0,img_92947.jpg,safe driving
69,p022,c0,img_79262.jpg,safe driving
70,p022,c0,img_70429.jpg,safe driving
71,p022,c0,img_96136.jpg,safe driving
72,p022,c0,img_29877.jpg,safe driving
73,p022,c0,img_63842.jpg,safe driving
74,p022,c0,img_101032.jpg,safe driving
75,p024,c0,img_48426.jpg,safe driving
76,p024,c0,img_32830.jpg,safe driving
77,p024,c0,img_24289.jpg,safe driving
78,p024,c0,img_60355.jpg,safe driving
79,p024,c0,img_4704.jpg,safe driving
80,p024,c0,img_20746.jpg,safe driving
81,p024,c0,img_9457.jpg,safe driving
82,p026,c0,img_47285.jpg,safe driving
83,p026,c0,img_5342.jpg,safe driving
84,p026,c0,img_27005.jpg,safe driving
85,p026,c0,img_81940.jpg,safe driving
86,p026,c0,img_73423.jpg,safe driving
87,p026,c0,img_99640.jpg,safe driving
88,p026,c0,img_38514.jpg,safe driving
89,p026,c0,img_60925.jpg,safe driving
90,p026,c0,img_15760.jpg,safe driving
91,p026,c0,img_40312.jpg,safe driving
92,p026,c0,img_43734.jpg,safe driving
93,p026,c0,img_26025.jpg,safe driving
94,p026,c0,img_12114.jpg,safe driving
95,p026,c0,img_69702.jpg,safe driving
96,p035,c0,img_78110.jpg,safe driving
97,p035,c0,img_55729.jpg,safe driving
98,p035,c0,img_46325.jpg,safe driving
99,p035,c0,img_7608.jpg,safe driving
100,p035,c0,img_7553.jpg,safe driving
101,p035,c0,img_94809.jpg,safe driving
102,p035,c0,img_4461.jpg,safe driving
103,p035,c0,img_19780.jpg,safe driving
104,p035,c0,img_74437.jpg,safe driving
105,p035,c0,img_22011.jpg,safe driving
106,p039,c0,img_66375.jpg,safe driving
107,p039,c0,img_63126.jpg,safe driving
108,p039,c0,img_22974.jpg,safe driving
109,p039,c0,img_56093.jpg,safe driving
110,p039,c0,img_35845.jpg,safe driving
111,p041,c0,img_67609.jpg,safe driving
112,p041,c0,img_48729.jpg,safe driving
113,p041,c0,img_47804.jpg,safe driving
114,p041,c0,img_97738.jpg,safe driving
115,p041,c0,img_70605.jpg,safe driving
116,p041,c0,img_89037.jpg,safe driving
117,p041,c0,img_18416.jpg,safe driving
118,p041,c0,img_18619.jpg,safe driving
119,p041,c0,img_94394.jpg,safe driving
120,p041,c0,img_97525.jpg,safe driving
121,p042,c0,img_50819.jpg,safe driving
122,p042,c0,img_63414.jpg,safe driving
123,p042,c0,img_46834.jpg,safe driving
124,p042,c0,img_35369.jpg,safe driving
125,p042,c0,img_23449.jpg,safe driving
126,p042,c0,img_14705.jpg,safe driving
127,p042,c0,img_44655.jpg,safe driving
128,p045,c0,img_2236.jpg,safe driving
129,p045,c0,img_102025.jpg,safe driving
130,p045,c0,img_90719.jpg,safe driving
131,p045,c0,img_52801.jpg,safe driving
132,p045,c0,img_99251.jpg,safe driving
133,p045,c0,img_94863.jpg,safe driving
134,p045,c0,img_41813.jpg,safe driving
135,p045,c0,img_72874.jpg,safe driving
136,p045,c0,img_74002.jpg,safe driving
137,p045,c0,img_15073.jpg,safe driving
138,p045,c0,img_72599.jpg,safe driving
139,p045,c0,img_71387.jpg,safe driving
140,p047,c0,img_67090.jpg,safe driving
141,p047,c0,img_29751.jpg,safe driving
142,p047,c0,img_30330.jpg,safe driving
143,p047,c0,img_67874.jpg,safe driving
144,p047,c0,img_10710.jpg,safe driving
145,p047,c0,img_38023.jpg,safe driving
146,p047,c0,img_8415.jpg,safe driving
147,p047,c0,img_65978.jpg,safe driving
148,p047,c0,img_35841.jpg,safe driving
149,p049,c0,img_78560.jpg,safe driving
150,p049,c0,img_68181.jpg,safe driving
151,p049,c0,img_30340.jpg,safe driving
